county,population,area,density
kings,2504700,70.82,35367.13
queens,2230722,108.53,20553.97
new york,1585873,22.83,69464.43
suffolk,1493350,912.05,1637.36
bronx,1385108,42.1,32900.43
nassau,1339532,284.72,4704.73
westchester,949113,430.5,2204.68
erie,919040,1042.69,881.41
monroe,744344,657.21,1132.58
richmond,468730,58.37,8030.32
onondaga,467026,778.39,599.99
orange,372813,811.69,459.3
rockland,311687,173.55,1795.95
albany,304204,522.8,581.87
dutchess,297488,795.63,373.9
oneida,234878,1212.43,193.72
saratoga,219607,809.98,271.13
niagara,216469,522.36,414.41
broome,200600,705.77,284.23
ulster,182493,1124.24,162.33
rensselaer,159429,652.43,244.36
schenectady,154727,204.52,756.54
chautauqua,134905,1060.23,127.24
oswego,122109,951.65,128.31
jefferson,116229,1268.59,91.62
st lawrence,111944,2680.38,41.76
ontario,107931,644.07,167.58
tompkins,101564,474.65,213.98
putnam,99710,230.31,432.94
steuben,98990,1390.56,71.19
wayne,93772,603.83,155.3
chemung,88830,407.35,218.07
clinton,82128,1037.85,79.13
cattaraugus,80317,1308.35,61.39
cayuga,80026,691.58,115.71
sullivan,77547,968.13,80.1
madison,73442,654.84,112.15
warren,65707,866.95,75.79
livingston,65393,631.76,103.51
herkimer,64519,1411.47,45.71
washington,63216,831.18,76.06
columbia,63096,634.71,99.41
otsego,62259,1001.7,62.15
genesee,60079,492.94,121.88
fulton,55531,495.47,112.08
franklin,51599,1629.12,31.67
tioga,51125,518.6,98.58
chenango,50477,893.55,56.49
montgomery,50219,403.04,124.6
cortland,49336,498.76,98.92
greene,49221,647.16,76.06
allegany,48946,1029.31,47.55
delaware,47980,1442.44,33.26
orleans,42883,391.26,109.6
wyoming,42155,592.75,71.12
essex,39370,1794.23,21.94
seneca,35251,323.71,108.9
schoharie,32749,621.82,52.67
lewis,27087,1274.68,21.25
yates,25348,338.14,74.96
schuyler,18343,328.33,55.87
hamilton,4836,1717.37,2.82
