"year","wait"
1845,841
1792,152
1793,43
1795,103
1795,70
1795,4
1799,37
1800,141
1801,180
1803,98
1806,62
1811,504
1811,154
1823,166
1825,133
1829,55
1830,500
1835,264
1835,164
1836,483
1842,314
1845,440
1845,6
1851,17
1852,260
1857,111
1862,780
1862,584
1862,293
1864,66
1869,43
1872,43
1873,301
1878,275
1880,111
1880,19
1882,162
1882,66
1887,244
1887,191
1890,293
1891,76
1892,39
1892,266
1894,244
1896,152
1897,57
1902,6
1903,84
1906,207
1909,199
1909,72
1910,166
1910,45
1910,17
1911,154
1914,92
1916,156
1916,121
1920,55
1922,53
1922,10
1924,53
1929,14
1930,80
1931,62
1936,76
1938,58
1938,10
1939,207
1939,76
1941,158
1941,0
1942,137
1942,14
1944,58
1946,64
1948,35
1953,25
1955,170
1956,0
1956,23
1958,0
1962,37
1962,21
1964,68
1968,0
1968,111
1970,391
1972,115
1972,103
1976,41
1981,82
1986,2
1987,237
1990,19
1990,82
1992,43
1994,0
2005,0
2005,25
2009,41
2010,41
